Country,Family,Leisure time,Friends,Religion,Work,Politics
ALB,95.8,11.8,18.6,24.2,79.7,3.7
AZE,84.7,30,35.2,29.5,53.3,9.6
ARG,86.6,26.4,48.6,34.9,70.3,10.1
AUS,90.2,44.4,62.6,23.1,50.8,15
BGD,94.2,11.1,16.1,82.2,83.1,13.4
CAN,86,23,44.4,25,66.8,14
BGR,87.9,20.9,40.8,14.8,52,6.9
BLR,83.8,28.7,31.3,20,46.7,9.8
CHL,88.8,42,27.6,41.8,64.3,6.9
CHN,76.5,10.7,29.3,3.9,63.9,23.7
COL,86,39.7,33.5,49,71.8,9.4
HRV,85.2,33,48.3,25.7,54.3,5.9
CZE,90.8,26.2,38.4,9,48.9,3.2
DOM,85.1,29.7,34.3,49.6,63.1,15.6
SLV,96.6,61.8,64.5,86.5,94.8,17
EST,77.7,21.3,26.8,7.9,59.7,4.6
FIN,80.4,34.7,56,13.3,48.5,3.1
GEO,94.6,36.2,73.6,49.3,57.8,13.2
DEU,78.4,31.8,43.4,10.8,50.3,10.9
HUN,89.4,33.5,38.2,21.5,50.5,6.6
IND,90.8,11.1,37.5,48.2,82.4,10.9
JPN,89.8,39.8,48.1,6.4,53.5,18.3
LVA,67.8,19.7,24.2,12.2,56.1,5.1
LTU,73.2,18.4,21.6,13.1,45.6,3.9
MEX,72,32.1,25.7,43,61,16.4
MDA,79,22.3,21.2,30.5,52,6.6
MKD,97.5,45.5,47.8,33.8,82,9.8
BIH,96.8,47.1,69.8,39.8,79.4,14.1
